date,day,month,month_name,quarter,year,month_year,day_of_week,day_name,week_of_year,is_weekend,is_month_end,is_quarter_end,is_year_end
2023-12-13,13,12,December,4,2023,2023-12,2,Wednesday,50,False,False,False,False
2023-12-14,14,12,December,4,2023,2023-12,3,Thursday,50,False,False,False,False
2023-12-15,15,12,December,4,2023,2023-12,4,Friday,50,False,False,False,False
2023-12-16,16,12,December,4,2023,2023-12,5,Saturday,50,True,False,False,False
2023-12-17,17,12,December,4,2023,2023-12,6,Sunday,50,True,False,False,False
2023-12-18,18,12,December,4,2023,2023-12,0,Monday,51,False,False,False,False
2023-12-19,19,12,December,4,2023,2023-12,1,Tuesday,51,False,False,False,False
2023-12-20,20,12,December,4,2023,2023-12,2,Wednesday,51,False,False,False,False
2023-12-21,21,12,December,4,2023,2023-12,3,Thursday,51,False,False,False,False
2023-12-22,22,12,December,4,2023,2023-12,4,Friday,51,False,False,False,False
2023-12-23,23,12,December,4,2023,2023-12,5,Saturday,51,True,False,False,False
2023-12-24,24,12,December,4,2023,2023-12,6,Sunday,51,True,False,False,False
2023-12-25,25,12,December,4,2023,2023-12,0,Monday,52,False,False,False,False
2023-12-26,26,12,December,4,2023,2023-12,1,Tuesday,52,False,False,False,False
2023-12-27,27,12,December,4,2023,2023-12,2,Wednesday,52,False,False,False,False
2023-12-28,28,12,December,4,2023,2023-12,3,Thursday,52,False,False,False,False
2023-12-29,29,12,December,4,2023,2023-12,4,Friday,52,False,False,False,False
2023-12-30,30,12,December,4,2023,2023-12,5,Saturday,52,True,False,False,False
2023-12-31,31,12,December,4,2023,2023-12,6,Sunday,52,True,True,True,True
